date,site,aspect,elev,meanT,varT,minT,maxT
2022-09-14,jp,T,east,8.3029166666666665,7.3162913560606055,5.552,14.325
2022-09-14,jp,T,west,7.5625,8.483804090909091,4.311,14.134
2022-09-14,nr,N,upper,9.432083333333333,9.294360265151514,5.962,15.76
2022-09-14,nr,S,east,11.788625,8.486772592391302,8.082,17.665
2022-09-14,nr,T,upper,9.533,8.290473818181818,5.757,14.804
2022-09-15,gp,N,lower,6.507333333333333,14.080719333333333,2.73,14.23
2022-09-15,gp,N,upper,3.8185,8.182549727272727,1.33,9.571
2022-09-15,gp,S,lower,7.7428333333333335,17.854497060606064,3.472,15.951
2022-09-15,gp,S,upper,5.348416666666666,11.246723719696968,1.98,11.625
2022-09-15,gp,T,lower,7.3925833333333335,25.58840426515152,2.517,17.379
2022-09-15,gp,T,upper,3.473666666666667,8.138998144927537,0.893,9.472
2022-09-15,jp,N,east,4.179333333333333,1.680958787878788,2.837,6.877
2022-09-15,jp,N,west,3.2194166666666666,2.410799356060606,1.764,6.268
2022-09-15,jp,S,east,4.3678333333333335,3.7130894242424244,2.517,8.282
2022-09-15,jp,S,west,4.35525,2.8442102045454543,2.624,7.582
2022-09-15,jp,T,east,5.481,3.8307429090909095,3.683,10.063
2022-09-15,jp,T,west,4.323333333333333,3.90300296969697,2.303,8.182
2022-09-15,nr,N,upper,8.545333333333334,15.821470424242422,3.788,15.664
2022-09-15,nr,S,east,11.246958333333334,21.06002369384058,5.962,20.424
2022-09-15,nr,T,upper,8.594,14.195377272727274,4.623,15.76
2022-09-16,gp,N,lower,5.984583333333333,17.41793808333333,1.221,13.269
2022-09-16,gp,N,upper,4.09925,12.372455295454547,0.121,9.866
2022-09-16,gp,S,lower,7.264833333333334,16.259955424242424,2.517,13.846
