pop,tr,plantID,year,area,log_size,surv,log_size_t0
NorthLower,2,2080,2024,1017.0906215996955,6.924701498863148,1,6.8957139619898955
NorthLower,2,2080,2025,746.1282552275758,6.614897509324096,1,6.924701498863148
NorthLower,2,2081,2023,296.88050576423547,5.693329720349097,1,5.41092470499816
NorthLower,2,2081,2024,238.76104167282426,5.475463226135731,1,5.693329720349097
NorthLower,2,2081,2025,240.33183799961918,5.482020626681891,1,5.475463226135731
NorthLower,2,2082,2023,247.40042147019622,5.511008163555142,1,5.2878646122409325
NorthLower,2,2082,2024,190.93029352191965,5.251908406051587,1,5.511008163555142
NorthLower,2,2082,2025,190.93029352191965,5.251908406051587,1,5.251908406051587
NorthLower,2,2083,2023,198.47011589053514,5.290638539123658,1,5.575546684692714
NorthLower,2,2083,2024,192.93305883858318,5.262343283344167,1,5.290638539123658
NorthLower,2,2083,2025,136.18804153311754,4.914036589075951,1,5.262343283344167
NorthLower,2,2084,2023,188.49555921538757,5.2390744480715,1,5.212687692898306
NorthLower,2,2084,2024,120.95131716320702,4.795388127143139,1,5.2390744480715
NorthLower,2,2084,2025,144.51326206513048,4.973371282338495,1,4.795388127143139
NorthLower,2,2085,2023,109.95574287564276,4.700077947338814,1,4.258245195059774
NorthLower,2,2085,2024,117.80972450961724,4.7690708188257656,1,4.700077947338814
NorthLower,2,2085,2025,133.5176877775662,4.894233961779771,1,4.7690708188257656
NorthLower,2,2086,2023,54.97787143782138,4.0069307667788685,1,5.17008157658455
NorthLower,2,2086,2024,87.96459430051421,4.476934396024604,1,4.0069307667788685
NorthLower,2,2086,2025,100.53096491487338,4.610465788649127,1,4.476934396024604
NorthLower,2,2087,2023,251.32741228718345,5.526756520523282,1,5.867683107493875
NorthLower,2,2087,2024,280.3871443328891,5.636171306509149,1,5.526756520523282
NorthLower,2,2087,2025,326.7256359733385,5.789120784990773,1,5.636171306509149
NorthLower,2,2088,2023,192.97232874675305,5.262546804256643,1,5.353518582462369
NorthLower,2,2088,2024,94.24777960769379,4.545927267511556,1,5.262546804256643
NorthLower,2,2088,2025,0,NA,0,4.545927267511556
NorthLower,2,2089,2023,152.2101640664255,5.025262224186176,1,5.136487859296399
NorthLower,2,2089,2024,169.64600329384882,5.1337139324136745,1,5.025262224186176
NorthLower,2,2089,2025,164.93361431346415,5.1055430554469785,1,5.1337139324136745
NorthLower,2,2090,2024,84.82300164692441,4.440566751853729,1,3.7474195712937837
NorthLower,2,2090,2025,86.3937979737193,4.458915890521926,1,4.440566751853729
NorthLower,2,2091,2023,188.49555921538757,5.2390744480715,1,4.995409261036494
NorthLower,2,2091,2024,197.92033717615698,5.2878646122409325,1,5.2390744480715
NorthLower,2,2091,2025,186.9247628885927,5.230706198400984,1,5.2878646122409325
NorthLower,2,2092,2023,219.9114857512855,5.393225127898759,1,7.030833917299556
NorthLower,2,2092,2024,0,NA,0,5.393225127898759
NorthLower,2,2093,2023,65.97344572538566,4.189252323572823,1,3.7474195712937837
NorthLower,2,2093,2024,120.16591899980959,4.788873446121945,1,4.189252323572823
NorthLower,2,2093,2025,133.5176877775662,4.894233961779771,1,4.788873446121945
NorthLower,2,2094,2023,69.11503837897544,4.235772339207716,1,3.783787215464659
NorthLower,2,2094,2024,65.97344572538566,4.189252323572823,1,4.235772339207716
NorthLower,2,2094,2025,94.24777960769379,4.545927267511556,1,4.189252323572823
NorthLower,2,2095,2023,405.89377084380124,6.006091477197901,1,5.920275557613046
NorthLower,2,2095,2024,212.96071200521808,5.361107698016579,1,6.006091477197901
NorthLower,2,2095,2025,196.34954084936209,5.279896442591756,1,5.361107698016579
NorthLower,2,2096,2023,2054.8372148967437,7.627951909630559,1,7.58794657501686
NorthLower,2,2096,2024,1963.8095677589797,7.582641522787167,1,7.627951909630559
NorthLower,2,2096,2025,1674.3118047306803,7.423157496984546,1,7.582641522787167
