plot,tr,id,year,area,log_size,surv,size_t0
N-east,2,1094,2023,40.41592653589793,3.699223928467941,1,3.6202025204572035
N-east,2,1094,2024,35.41061718819273,3.5670116957429614,1,3.699223928467941
N-east,2,1094,2025,38.84513020910303,3.6595827204138347,1,3.5670116957429614
N-east,2,1095,2023,32.77433388230814,3.489645705486193,1,3.422069411738013
N-east,2,1095,2024,35.34513020910303,3.5651606235630275,1,3.489645705486193
N-east,2,1095,2025,39.48672286269283,3.6759644853442963,1,3.5651606235630275
N-east,2,1096,2023,0,NA,0,3.798368534623541
N-east,2,1097,2023,34.20353755551324,3.5323290760150003,1,3.349593462724515
N-east,2,1097,2024,33.54690049407733,3.5129444744726857,1,3.5323290760150003
N-east,2,1097,2025,27.47610416728243,3.31331668755432,1,3.5129444744726857
N-east,2,1098,2023,36.27433388230814,3.59111043560532,1,3.472076308488439
N-east,2,1098,2024,39.65176727053895,3.6801355188539953,1,3.59111043560532
N-east,2,1098,2025,28.019467105846513,3.3328995223784923,1,3.6801355188539953
N-east,2,1099,2024,29.561944901923447,3.3864878889739045,1,3.171765597519022
N-east,2,1099,2025,31.132741228718345,3.438260038036318,1,3.3864878889739045
N-east,2,1100,2024,25.420352248333657,3.235550122798802,1,2.897963255045375
N-east,2,1100,2025,22.77875959474386,3.1258285050327177,1,3.235550122798802
N-east,2,1101,2023,24.420352248333657,3.1954168931622133,1,3.1747296550749082
N-east,2,1101,2024,21.77875959474386,3.0809351643101865,1,3.1954168931622133
N-east,2,1101,2025,16.066370614359172,2.7767283057265075,1,3.0809351643101865
N-east,2,1102,2023,31.36061718819273,3.4455528760344856,1,3.4435190668944062
N-east,2,1102,2024,0,NA,0,3.4455528760344856
N-east,2,1103,2024,0,NA,0,2.98102278086574
N-east,2,1104,2023,22.84955592153876,3.128931682645399,1,2.7767283057265075
N-east,2,1104,2024,27.991148575128552,3.331888337881174,1,3.128931682645399
N-east,2,1104,2025,28.491148575128552,3.349593462724515,1,3.331888337881174
N-east,2,1105,2023,0,NA,0,2.3373711446684475
N-east,2,1106,2023,54.83893421169303,4.004400419999299,1,4.011527843017075
N-east,2,1106,2024,65.03495107050087,4.174924834159011,1,4.004400419999299
N-east,2,1106,2025,65.03495107050087,4.174924834159011,1,4.174924834159011
N-east,2,1107,2023,46.27035074111598,3.8345013832039014,1,3.814858824329614
N-east,2,1107,2024,44.85663404700058,3.803471493887348,1,3.8345013832039014
N-east,2,1107,2025,52.982297150257104,3.969957841723457,1,3.803471493887348
N-east,2,1108,2023,42.634952577718536,3.752674399908148,1,3.6565938545006067
N-east,2,1108,2024,32.132741228718345,3.4698754862864525,1,3.752674399908148
N-east,2,1108,2025,25.420352248333657,3.235550122798802,1,3.4698754862864525
N-east,2,1109,2023,13.995574287564276,2.6387411573212285,1,2.6387411573212285
N-east,2,1109,2024,19.707963267948966,2.98102278086574,1,2.6387411573212285
N-east,2,1109,2025,12.995574287564276,2.56460886008075,1,2.98102278086574
N-east,2,1110,2023,34.20353755551324,3.5323290760150003,1,3.313864082865935
N-east,2,1110,2024,46.19911184307752,3.832960573727095,1,3.5323290760150003
N-east,2,1110,2025,0,NA,0,3.832960573727095
N-east,2,1111,2023,44.05751918948772,3.7854960345118216,1,3.618304990130512
N-east,2,1111,2024,53.411500823462205,3.97802609400298,1,3.7854960345118216
N-east,2,1111,2025,55.982297150257104,4.025035518441119,1,3.97802609400298
N-east,2,1112,2023,120.16591899980959,4.788873446121945,1,5.547645981681968
N-east,2,1112,2024,22.27875959474386,3.103633740023793,1,4.788873446121945
N-east,2,1112,2025,16.066370614359172,2.7767283057265075,1,3.103633740023793
N-east,2,1113,2023,48.769908169872416,3.8871134867977446,1,3.700974089813517
N-east,2,1113,2024,56.982297150257104,4.042740643284461,1,3.8871134867977446
N-east,2,1113,2025,42.62831551628262,3.7525187159519104,1,4.042740643284461
N-east,2,1114,2023,34.84513020910303,3.550913391692312,1,3.472076308488439
N-east,2,1114,2024,39.91592653589793,3.686775405552839,1,3.550913391692312
N-east,2,1114,2025,0,NA,0,3.686775405552839
N-east,2,1115,2023,0,NA,0,3.4435190668944062
N-east,2,1116,2023,31.382741228718345,3.446258099407947,1,3.568809445767859
N-east,2,1116,2024,30.847343065320896,3.429050622341705,1,3.446258099407947
N-east,2,1116,2025,30.597343065320896,3.4209131772578822,1,3.429050622341705
N-east,2,1117,2023,35.33760800517997,3.5649477794049913,1,3.6098170224128854
N-east,2,1117,2024,36.38760800517997,3.594228277261908,1,3.5649477794049913
N-east,2,1117,2025,31.5318560862312,3.4509983391326733,1,3.594228277261908
N-east,2,1118,2023,18.707963267948966,2.928949276420883,1,2.7767283057265075
N-east,2,1118,2024,24.34955592153876,3.192513612053827,1,2.928949276420883
N-east,2,1118,2025,24.34955592153876,3.192513612053827,1,3.192513612053827
N-east,2,1119,2023,22.27875959474386,3.103633740023793,1,3.0809351643101865
N-east,2,1119,2024,0,NA,0,3.103633740023793
N-east,2,1120,2023,19.707963267948966,2.98102278086574,1,3.171765597519022
N-east,2,1120,2024,0,NA,0,2.98102278086574
N-east,2,1121,2023,33.16061718819273,3.501362942524305,1,3.7390381858789867
N-east,2,1121,2024,37.91592653589793,3.6353712490400714,1,3.501362942524305
N-east,2,1121,2025,36.34513020910303,3.59306022551659,1,3.6353712490400714
N-east,2,1122,2023,30.132741228718345,3.405612329047532,1,3.438260038036318
N-east,2,1122,2024,32.70353755551324,3.487483254177731,1,3.405612329047532
N-east,2,1122,2025,31.703537555513243,3.4564282694681405,1,3.487483254177731
N-east,2,1123,2023,36.27433388230814,3.59111043560532,1,3.5631556139973815
N-east,2,1123,2024,45.55751918948772,3.818975685592663,1,3.59111043560532
N-east,2,1123,2025,44.12831551628262,3.7871016516098637,1,3.818975685592663
N-east,2,1124,2023,65.90707511102649,4.188245797066231,1,4.105856151080803
N-east,2,1124,2024,76.76105674500096,4.340697437915515,1,4.188245797066231
N-east,2,1124,2025,77.26105674500096,4.347190034920947,1,4.340697437915515
N-east,2,1125,2023,49.840704496667314,3.9088320095451743,1,4.017339202690863
N-east,2,1125,2024,62.83627878423159,4.140532594323878,1,3.9088320095451743
N-east,2,1125,2025,65.40707511102649,4.180630434737676,1,4.140532594323878
N-east,2,1126,2023,52.482297150257104,3.96047591559588,1,3.762536877398866
N-east,2,1126,2024,59.152208334564854,4.080113924208713,1,3.96047591559588
N-east,2,1126,2025,60.62388980384689,4.104689036576105,1,4.080113924208713
N-east,2,1127,2023,44.28583772020568,3.790664935650445,1,3.541568279212272
N-east,2,1127,2024,63.62875658030852,4.15306551564733,1,3.790664935650445
N-east,2,1127,2025,63.730084294039244,4.154656731999724,1,4.15306551564733
N-east,2,1128,2023,38.429200658769766,3.6488176044325042,1,4.154101138857354
N-east,2,1128,2024,46.269908169872416,3.8344918182588974,1,3.6488176044325042
N-east,2,1128,2025,34.1026524130261,3.5293751646377007,1,3.8344918182588974
N-east,2,1129,2023,29.94690049407733,3.3994258298597337,1,3.3842851898283666
N-east,2,1129,2024,20.207963267948966,3.0060767479079957,1,3.3994258298597337
N-east,2,1129,2025,14.495574287564276,2.6738433812896605,1,3.0060767479079957
N-east,2,1130,2023,22.84955592153876,3.128931682645399,1,3.0809351643101865
N-east,2,1130,2024,0,NA,0,3.128931682645399
N-east,2,1131,2023,47.19911184307752,3.854375075530519,1,3.661403589350528
N-east,2,1131,2024,58.553093477052,4.069933923439683,1,3.854375075530519
N-east,2,1131,2025,62.76548245743669,4.139405279967892,1,4.069933923439683
N-east,2,1132,2023,38.98672286269283,3.6632211487488595,1,3.6067234581821315
N-east,2,1132,2024,46.69911184307752,3.843725146144483,1,3.6632211487488595
N-east,2,1132,2025,48.769908169872416,3.8871134867977446,1,3.843725146144483
N-east,2,1133,2023,75.69026041820607,4.326649491904483,1,4.276358730635717
N-east,2,1133,2024,81.26702994957152,4.397740398626308,1,4.326649491904483
N-east,2,1133,2025,22.34955592153876,3.106806451579799,1,4.397740398626308
N-west,1,1134,2023,27.991148575128552,3.331888337881174,1,3.2550284612194202
